Georgia,Eastern Europe
Germany,European Community
Ghana,Sub-Saharan Africa
Gibraltar,Western Europe exc EC
Greece,European Community
Greenland,North America
Grenada,Latin America and Caribbean
Guadeloupe,Latin America and Caribbean
Guam,Asia and Oceania
Guatemala,Latin America and Caribbean
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Heard & McDonald,Asia and Oceania
Honduras,Latin America and Caribbean
Hong Kong,Asia and Oceania
Hungary,European Community
Iceland,Western Europe exc EC
India,Asia and Oceania
Indonesia,Asia and Oceania
Iran,Middle East and N Africa
Iraq,Middle East and N Africa
Irish Republic,European Community
Israel,Middle East and N Africa
Italy,European Community
Ivory Coast,Sub-Saharan Africa
Jamaica,Latin America and Caribbean
Japan,Asia and Oceania
Jordan,Middle East and N Africa
Kazakhstan,Eastern Europe
Kenya,Sub-Saharan Africa
Kiribati,Asia and Oceania
Kosovo,Eastern Europe
Kuwait,Middle East and N Africa
Kyrgyzstan,Eastern Europe
Kyrgyz Republic,Eastern Europe
Kyrkyz Republic,Eastern Europe
Laos,Asia and Oceania
Latvia,European Community
Lebanon,Middle East and N Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East and N Africa
Liechtenstein,Western Europe exc EC
Lithuania,European Community
Luxembourg,European Community
Macao,Asia and Oceania
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,Asia and Oceania
Maldives,Asia and Oceania
Mali,Sub-Saharan Africa
Malta,European Community
Marshall Islands,Asia and Oceania
Martinique,Latin America and Caribbean
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Melilla,Middle East and N Africa
Mexico,North America
Micronesia,Asia and Oceania
Moldova,Eastern Europe
Mongolia,Asia and Oceania
Montenegro,Eastern Europe
Montserrat,Latin America and Caribbean
Morocco,Middle East and N Africa
Mozambique,Sub-Saharan Africa
N Mariana Is,Asia and Oceania
Namibia,Sub-Saharan Africa
Nauru,Asia and Oceania
Nepal,Asia and Oceania
Netherlands,European Community
New Caledonia,Asia and Oceania
New Zealand,Asia and Oceania
Nicaragua,Latin America and Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Niue & Tokelau,Asia and Oceania
Niue Island,Asia and Oceania
Nl Antilles,Latin America and Caribbean
Norfolk Island,Asia and Oceania
North Korea,Asia and Oceania
Norway,Western Europe exc EC
Occ Palest Terr,Middle East and N Africa
Oman,Middle East and N Africa
Pakistan,Asia and Oceania
Palau,Asia and Oceania
Panama,Latin America and Caribbean
Papua New Guinea,Asia and Oceania
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Philippines,Asia and Oceania
Pitcairn,Asia and Oceania
Poland,European Community
Polar Regions,Asia and Oceania
Portugal,European Community
Puerto Rico,North America
Qatar,Middle East and N Africa
Reunion,Sub-Saharan Africa
Romania,European Community
Russia,Eastern Europe
Rwanda,Sub-Saharan Africa
Saint Barthelemy,Latin America and Caribbean
Samoa,Asia and Oceania
San Marino,Western Europe exc EC
Sao Tome-Princ.,Sub-Saharan Africa
Saudi Arabia,Middle East and N Africa
Senegal,Sub-Saharan Africa
Serbia,Eastern Europe
Serbia & Mont.,Eastern Europe
Serbia-Monteneg.,Eastern Europe
Seychelles,Sub-Saharan Africa
Sharjah Etc,Middle East and N Africa
Sierra Leone,Sub-Saharan Africa
Singapore,Asia and Oceania
Sint Maarten,Latin America and Caribbean
Slovakia,European Community
Slovenia,European Community
Solomon Islands,Asia and Oceania
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Georgia Is,Asia and Oceania
South Korea,Asia and Oceania
South Sudan,Middle East and N Africa
Spain,European Community
Sri Lanka,Asia and Oceania
St Helena,Sub-Saharan Africa
St Kitts & Nevis,Latin America and Caribbean
St Lucia,Latin America and Caribbean
St Pierre-Mique,North America
St Vincent,Latin America and Caribbean
Sudan,Middle East and N Africa
Surinam,Latin America and Caribbean
Svalbard Arch.,Western Europe exc EC
Swaziland,Sub-Saharan Africa
Sweden,European Community
Switzerland,Western Europe exc EC
Syria,Middle East and N Africa
Taiwan,Asia and Oceania
Tajikistan,Eastern Europe
Tanzania,Sub-Saharan Africa
Thailand,Asia and Oceania
Timor-Leste,Asia and Oceania
Togo,Sub-Saharan Africa
Tokelau Islands,Asia and Oceania
Tonga,Asia and Oceania
Trinidad:Tobago,Latin America and Caribbean
Tunisia,Middle East and N Africa
Turkey,Western Europe exc EC
Turkmenistan,Eastern Europe
Turks & Caicos,Latin America and Caribbean
Tuvalu,Asia and Oceania
UAE,Middle East and N Africa
Uganda,Sub-Saharan Africa
Ukraine,Eastern Europe
United States,North America
Uruguay,Latin America and Caribbean
US Minor Islands,Asia and Oceania
US Oceania,Asia and Oceania
US Virgin Is,Latin America and Caribbean
Uzbekistan,Eastern Europe
Vanuatu,Asia and Oceania
Vatican City,Western Europe exc EC
Venezuela,Latin America and Caribbean
Vietnam,Asia and Oceania
W Bank/Gaza Strp,Middle East and N Africa
Wallis & Futuna,Asia and Oceania
Western Sahara,Sub-Saharan Africa
Western Samoa,Asia and Oceania
Yemen,Middle East and N Africa
Yugoslavia,Eastern Europe
Zaire,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
